,Product_name,clean_review,similarity
0,Kentucky Brunch Brand Stout,"['look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5', 'Smell: early morning pancakes and coffee before work that wakes you up', 'Taste: liquifies buttery maple pancakes and hot coffee with some snake bite in it.', 'Feel: Like that Scene in there will be blood when the oil explodes everywhere. Tar.']",0.0
1,Kentucky Brunch Brand Stout,['look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.75 | overall: 4.5'],0.0
2,Kentucky Brunch Brand Stout,"['look: 3 | smell: 1.5 | taste: 1.5 | feel: 1.5 | overall: 1', ""It's hyped... There is a lot of breweries doing this style of beer right. For this to be the top rated is kinda nuts... Over rated, over hyped, over priced. I found a lot of other local beers doing it and for much less tbh. I gave it a 1 for overall because it's not worth msrp of $100 whatsoever. The beer that my friends and I brewed is more balanced than this.""]",0.0
3,Kentucky Brunch Brand Stout,['look: 4 | smell: 4.5 | taste: 4.5 | feel: 5 | overall: 4.5'],0.0
4,Kentucky Brunch Brand Stout,['look: 4.75 | smell: 5 | taste: 5 | feel: 5 | overall: 5'],0.0
5,Kentucky Brunch Brand Stout,"['look: 4.75 | smell: 5 | taste: 5 | feel: 5 | overall: 5', 'A (very expensive) draft pour at TG on release day Dec. 7, 2019.', 'Look: Not as dark as I expected with a very thin brownish-tan head. Sticks to the glass briefly.', 'Smell: Lots of phenomenal coffee hit me at first. Much stronger that Mornin Delight. The barrel was there along with dark chocolate.', 'Taste: The coffee and maple match perfectly. There is some vanilla as it warmed and the barrel was more present. Really delicious', 'Feel: The carbonation was great. It was unbelievably smooth and lingered with each sip.', 'Overall: Easily the best beer I’ve had from TG. So complex and drinkable with everything I wanted in a beer. So many stouts with maple but none of them mix flavors like this. Definitely a world class beer.']",0.0
6,Kentucky Brunch Brand Stout,['look: 4.75 | smell: 4.75 | taste: 4.75 | feel: 4.75 | overall: 5'],0.0
7,Kentucky Brunch Brand Stout,['look: 4.5 | smell: 4.75 | taste: 4.75 | feel: 4.75 | overall: 4.75'],0.0
8,Kentucky Brunch Brand Stout,['look: 4.75 | smell: 4.75 | taste: 4.5 | feel: 5 | overall: 4.75'],0.0
9,Kentucky Brunch Brand Stout,"['look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5', 'Dark black, very thick, a little bit of tan head. Smells amazing - coffee and a little bit of maple jump out at you, along with chocolate and vanilla and other sweet smells. The taste is no letdown either, coffee is more up front, and maple is on the back end, with a lot of caramel / chocolate / dark fruit in the middle. Super thick mouthfeel with zero alcohol burn.']",0.0
10,Kentucky Brunch Brand Stout,['look: 4.5 | smell: 5 | taste: 5 | feel: 5 | overall: 5'],0.0
11,Kentucky Brunch Brand Stout,['look: 5 | smell: 5 | taste: 4.5 | feel: 5 | overall: 4.75'],0.0
12,Kentucky Brunch Brand Stout,['look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5'],0.0
13,Kentucky Brunch Brand Stout,['look: 5 | smell: 5 | taste: 3.75 | feel: 4.5 | overall: 4.25'],0.0
14,Kentucky Brunch Brand Stout,['look: 5 | smell: 5 | taste: 4.75 | feel: 5 | overall: 4.75'],0.0
15,Kentucky Brunch Brand Stout,['look: 4.75 | smell: 5 | taste: 4.75 | feel: 5 | overall: 5'],0.0
16,Kentucky Brunch Brand Stout,['look: 4.5 | smell: 5 | taste: 4 | feel: 4.25 | overall: 4'],0.0
17,Kentucky Brunch Brand Stout,"['look: 4.5 | smell: 4.75 | taste: 5 | feel: 5 | overall: 5', 'Batch one, 2013, Enjoyed at GAB bottle share', 'Pitch black thick oily rich, thick legs, touch of head', 'Nose loads of maple thick dark chocolate, cocoa, hint Smokey, roasty coffee, coffee syrup, nice barrel vanilla and thick maple, vanilla ice cream', 'Taste velvety creamy smooth thick dark chocolate, cocoa, big maple syrup, vanilla ice cream, touch of Smokey, roasty coffee, lurker nutty coffee and hint of bitterness, mild toasted oak vanilla barrel, no booze, earthy coffee late, thick dark chocolate', 'Mouth is thick rich creamy, velvety smooth, no alcohol']",0.0
18,Kentucky Brunch Brand Stout,"['look: 4.25 | smell: 4.75 | taste: 5 | feel: 4.75 | overall: 5', ""Pouring with a thick viscosity that's damn near reduced balsamic, a blackish-brown gloss begins coating my companion's lips at first sip, like she's gone full goth. A uniform, dark mocha blanket builds over top of the void black body, but that quickly fizzles out, leaving nothing but brown staining legs that coat the glass with a swirl."", ""Hypnotizing aromas of deep, dark smoky maple swirl into a luscious malt that brings to mind dark cocoa wafer and mocha. A surprising barrel presence graces the nose without any heat, exhibiting a super oaky but dark wet char that's not spicy or overpowering. The bourbon barrel also delivers a lightly sharp toasted coconut scent as it warms."", ""Intenesly rich and smoky maple flavors are met with a deeply earthy, dark roasted coffee that I don't recall getting as much of in the numerous Mornin' Delight pours and bottles I've had over the years. Raisinets and dark cocoa wafer intermingle with the aforementioned flavors, while a substantial charred oak and bourbon complexity amps KBBS up considerably. The black peppery woodiness adds a mild heat, and the divine maple aftertaste lingers forever, with a nicely warm exhale."", 'The super viscous and velvety thick body suppresses the bourbon heat well. A slow to surface fizz brings a faint sting with it during the sticky, semi-dry yet impossibly round swallow. As you get to the bottom of the glass, it thins out a bit and becomes a bit boozier and less complex, but such is life. Nothing is ever really perfect, is it?']",0.0
19,Kentucky Brunch Brand Stout,"['look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5', 'This is the beer that I always thought Morning Delight should be - the maple syrup is prominent in the nose and taste, but not so forward and overwhelming that it becomes a bit cloying and unpleasant. The barrel is a bit subdued, but still comes through clearly.']",0.0
20,Kentucky Brunch Brand Stout,['look: 4.75 | smell: 4.75 | taste: 4.5 | feel: 4.5 | overall: 4.5'],0.0
21,Kentucky Brunch Brand Stout,['look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5'],0.0
22,Kentucky Brunch Brand Stout,['look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.75'],0.0
23,Kentucky Brunch Brand Stout,['look: 4.75 | smell: 4.75 | taste: 5 | feel: 5 | overall: 5'],0.0
24,Kentucky Brunch Brand Stout,['look: 4.75 | smell: 5 | taste: 5 | feel: 5 | overall: 5'],0.0
25,Marshmallow Handjee,['look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5'],0.0
26,Marshmallow Handjee,['look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5'],0.0
27,Marshmallow Handjee,"['look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4', ""Wow was this overrated. I couldn't beleive it when I saw that this was my variant. Had a blind BBA Vanilla beer tasting with family. Handjee, Bourbon County Vanilla, Fundamental Observation, Vlad Vanilla & French Vanilla Militia."", '1. FO', '2. BCV', '3. Handjee', '4. Vlad']",0.0
28,Marshmallow Handjee,"['look: 4.75 | smell: 4.5 | taste: 3.25 | feel: 4.5 | overall: 3.25', 'Tastes like burnt Vanilla Coke aged in gasoline barrels.', 'I love a boozy stout. I love adjuncts. And I like when they’re made with concern for tastebuds, not just for how extreme of a flavor they can get out of it.']",0.0
29,Marshmallow Handjee,['look: 4.25 | smell: 4.25 | taste: 3.5 | feel: 4.5 | overall: 3.75'],0.0
30,Marshmallow Handjee,"['look: 4.5 | smell: 4.75 | taste: 4.75 | feel: 4.75 | overall: 4.75', 'Jet black pour, dark tan head. The base Dark Lord aromas plus heavy vanilla and some oak. Wow.']",0.0
